Campaign name,Ad group name,Ad name,Optimization goal,By Day,Account name,Cost,Impressions,Clicks (destination),Reach,Conversions,Currency
sise_carreras_top-carreras_aon_tiktok_social_consideracion_trafico_carreras_2025_abr_9,intereses_modalidad-semi_social_carreras__cpc,spark-ads_enfermeria-m2_carreras___abr_9,Conversion,2025-04-10,PE_SMB_IMS_SISE,52.32,228514,1371,189105,848,USD
sise_carreras_top-carreras_aon_tiktok_social_consideracion_trafico_carreras_2025_abr_9,intereses_modalidad-semi_social_carreras__cpc,spark-ads_enfermeria-m2_carreras___abr_9,Conversion,2025-04-11,PE_SMB_IMS_SISE,47.57,193190,988,166825,574,USD
sise_carreras_top-carreras_aon_tiktok_social_consideracion_trafico_carreras_2025_abr_9,intereses_modalidad-semi_social_carreras__cpc,spark-ads_enfermeria-m2_carreras___abr_9,Conversion,2025-04-12,PE_SMB_IMS_SISE,44.07,184530,889,159002,503,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-10,PE_SMB_IMS_SISE,40.33,128576,231,115596,7,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-08,PE_SMB_IMS_SISE,40.26,74322,143,68270,6,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-09,PE_SMB_IMS_SISE,39.59,56835,102,53178,6,USD
sise_carreras_top-carreras_aon_tiktok_social_consideracion_trafico_carreras_2025_abr_9,intereses_modalidad-semi_social_carreras__cpc,spark-ads_enfermeria-m2_carreras___abr_9,Conversion,2025-04-13,PE_SMB_IMS_SISE,37.00,156961,745,134806,406,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,spark-ads_testimonio-computacion_carreras___mar_27,Impression,2025-04-05,PE_SMB_IMS_SISE,36.57,224721,270,220751,0,USD
sise_carreras_top-carreras_aon_tiktok_social_consideracion_trafico_carreras_2025_abr_9,intereses_modalidad-semi_social_carreras__cpc,spark-ads_enfermeria-m2_carreras___abr_9,Conversion,2025-04-15,PE_SMB_IMS_SISE,35.58,147878,717,136917,365,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,spark-ads_testimonio-computacion_carreras___mar_27,Impression,2025-04-15,PE_SMB_IMS_SISE,35.37,187662,264,185653,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,spark-ads_testimonio-computacion_carreras___mar_27,Impression,2025-04-04,PE_SMB_IMS_SISE,34.83,225665,238,222178,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-01,PE_SMB_IMS_SISE,34.10,92325,151,87619,2,USD
sise_carreras_top-carreras_aon_tiktok_social_consideracion_trafico_carreras_2025_abr_9,intereses_modalidad-semi_social_carreras__cpc,spark-ads_enfermeria-m2_carreras___abr_9,Conversion,2025-04-14,PE_SMB_IMS_SISE,34.00,144392,765,127819,385,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,spark-ads_testimonio-computacion_carreras___mar_27,Impression,2025-04-06,PE_SMB_IMS_SISE,33.51,210587,289,206670,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-15,PE_SMB_IMS_SISE,32.35,73350,148,69216,2,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,spark-ads_testimonio-computacion_carreras___mar_27,Impression,2025-04-09,PE_SMB_IMS_SISE,30.19,178141,211,178445,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,spark-ads_testimonio-computacion_carreras___mar_27,Impression,2025-04-13,PE_SMB_IMS_SISE,30.09,173458,259,169661,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica-2_05-mar-2025_intereses_spark-ads,Impression,2025-04-06,PE_SMB_IMS_SISE,29.77,183878,0,181550,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,spark-ads_testimonio-computacion_carreras___mar_27,Impression,2025-04-08,PE_SMB_IMS_SISE,29.69,167884,210,165505,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,spark-ads_testimonio-computacion_carreras___mar_27,Impression,2025-04-14,PE_SMB_IMS_SISE,29.53,160208,238,158507,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-15,PE_SMB_IMS_SISE,29.48,59540,118,54025,5,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-01,PE_SMB_IMS_SISE,29.12,53609,106,48591,4,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,spark-ads_testimonio-computacion_carreras___mar_27,Impression,2025-04-07,PE_SMB_IMS_SISE,29.07,170358,200,168074,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,spark-ads_testimonio-computacion_carreras___mar_27,Impression,2025-04-12,PE_SMB_IMS_SISE,28.76,165110,202,163925,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica-2_05-mar-2025_intereses_spark-ads,Impression,2025-04-07,PE_SMB_IMS_SISE,28.57,166517,0,164715,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica-2_05-mar-2025_intereses_spark-ads,Impression,2025-04-05,PE_SMB_IMS_SISE,28.07,176644,0,175560,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-03,PE_SMB_IMS_SISE,27.24,42213,103,38248,7,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-08,PE_SMB_IMS_SISE,27.21,51956,80,48281,3,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-07,PE_SMB_IMS_SISE,26.81,97528,162,93232,2,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,spark-ads_testimonio-computacion_carreras___mar_27,Impression,2025-04-10,PE_SMB_IMS_SISE,26.36,144882,178,144458,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica-2_05-mar-2025_intereses_spark-ads,Impression,2025-04-04,PE_SMB_IMS_SISE,26.00,169687,0,166968,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,spark-ads_testimonio-computacion_carreras___mar_27,Impression,2025-04-11,PE_SMB_IMS_SISE,25.81,150095,173,149085,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica-2_05-mar-2025_intereses_spark-ads,Impression,2025-04-08,PE_SMB_IMS_SISE,25.73,140084,0,138690,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-14,PE_SMB_IMS_SISE,25.73,54514,118,51106,2,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-14,PE_SMB_IMS_SISE,25.25,57862,118,55432,3,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-11,PE_SMB_IMS_SISE,24.03,62790,124,58866,3,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-02,PE_SMB_IMS_SISE,23.89,40908,81,37334,1,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica_04-mar-2025_intereses_spark-ads,Impression,2025-04-04,PE_SMB_IMS_SISE,23.79,155304,193,154171,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica_04-mar-2025_intereses_spark-ads,Impression,2025-04-10,PE_SMB_IMS_SISE,23.51,128727,159,127454,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica_04-mar-2025_intereses_spark-ads,Impression,2025-04-05,PE_SMB_IMS_SISE,23.25,145852,209,145455,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica_04-mar-2025_intereses_spark-ads,Impression,2025-04-11,PE_SMB_IMS_SISE,22.97,131324,164,130341,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-gastro_04-mar-2025_intereses_spark-ads,Impression,2025-04-15,PE_SMB_IMS_SISE,22.74,118493,183,117723,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica_04-mar-2025_intereses_spark-ads,Impression,2025-04-15,PE_SMB_IMS_SISE,22.23,117204,177,116632,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica_04-mar-2025_intereses_spark-ads,Impression,2025-04-08,PE_SMB_IMS_SISE,22.22,118927,172,117999,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-admi_04-mar-2025_intereses_spark-ads,Impression,2025-04-04,PE_SMB_IMS_SISE,22.11,143336,127,141967,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica_04-mar-2025_intereses_spark-ads,Impression,2025-04-09,PE_SMB_IMS_SISE,22.03,122633,159,121791,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica_04-mar-2025_intereses_spark-ads,Impression,2025-04-06,PE_SMB_IMS_SISE,22.02,136934,177,136490,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-gastro_04-mar-2025_intereses_spark-ads,Impression,2025-04-13,PE_SMB_IMS_SISE,20.64,119399,189,118445,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica_04-mar-2025_intereses_spark-ads,Impression,2025-04-07,PE_SMB_IMS_SISE,20.60,119140,153,117739,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-10,PE_SMB_IMS_SISE,20.43,34736,77,32654,6,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-gastro_04-mar-2025_intereses_spark-ads,Impression,2025-04-14,PE_SMB_IMS_SISE,20.32,110165,150,109562,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-06,PE_SMB_IMS_SISE,20.13,59840,133,55818,5,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-admi_04-mar-2025_intereses_spark-ads,Impression,2025-04-05,PE_SMB_IMS_SISE,19.56,119381,148,118915,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-04,PE_SMB_IMS_SISE,19.47,19740,55,18075,2,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica_04-mar-2025_intereses_spark-ads,Impression,2025-04-12,PE_SMB_IMS_SISE,18.94,111231,140,110963,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica-2_05-mar-2025_intereses_spark-ads,Impression,2025-04-09,PE_SMB_IMS_SISE,18.82,107268,0,106533,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-admi_04-mar-2025_intereses_spark-ads,Impression,2025-04-09,PE_SMB_IMS_SISE,18.75,105799,124,105657,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-gastro_04-mar-2025_intereses_spark-ads,Impression,2025-04-12,PE_SMB_IMS_SISE,18.70,108708,137,107610,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-07,PE_SMB_IMS_SISE,18.63,30205,81,28565,6,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica_04-mar-2025_intereses_spark-ads,Impression,2025-04-14,PE_SMB_IMS_SISE,18.32,99555,139,98733,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-admi_04-mar-2025_intereses_spark-ads,Impression,2025-04-10,PE_SMB_IMS_SISE,18.31,99141,115,97331,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica_04-mar-2025_intereses_spark-ads,Impression,2025-04-13,PE_SMB_IMS_SISE,18.31,108092,163,106404,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-07,PE_SMB_IMS_SISE,18.12,38888,54,37078,6,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-15,PE_SMB_IMS_SISE,17.98,28159,43,25881,2,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-admi_04-mar-2025_intereses_spark-ads,Impression,2025-04-06,PE_SMB_IMS_SISE,17.91,107869,128,107053,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-09,PE_SMB_IMS_SISE,17.64,31352,47,28669,2,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-05,PE_SMB_IMS_SISE,17.61,33606,63,31401,2,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-admi_04-mar-2025_intereses_spark-ads,Impression,2025-04-11,PE_SMB_IMS_SISE,17.16,100999,119,99313,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-09,PE_SMB_IMS_SISE,16.99,29353,49,28122,4,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-admi_04-mar-2025_intereses_spark-ads,Impression,2025-04-08,PE_SMB_IMS_SISE,16.97,89180,100,88462,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-gastro_04-mar-2025_intereses_spark-ads,Impression,2025-04-04,PE_SMB_IMS_SISE,16.72,106503,126,106079,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-08,PE_SMB_IMS_SISE,16.57,30939,57,27855,3,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-10,PE_SMB_IMS_SISE,16.45,34072,40,32590,1,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-admi_04-mar-2025_intereses_spark-ads,Impression,2025-04-07,PE_SMB_IMS_SISE,16.45,94877,117,94539,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-gastro_04-mar-2025_intereses_spark-ads,Impression,2025-04-11,PE_SMB_IMS_SISE,16.12,93842,127,93074,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-02,PE_SMB_IMS_SISE,16.11,24243,53,21519,5,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica-2_05-mar-2025_intereses_spark-ads,Impression,2025-04-11,PE_SMB_IMS_SISE,15.88,89433,0,88588,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-03,PE_SMB_IMS_SISE,15.73,24553,43,21634,1,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-01,PE_SMB_IMS_SISE,15.54,22217,44,19727,2,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,vid_nacho-la-formula-del-exito_05-mar-2025_intereses_spark-ads,Impression,2025-04-08,PE_SMB_IMS_SISE,15.49,83733,126,82776,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-admi_04-mar-2025_intereses_spark-ads,Impression,2025-04-15,PE_SMB_IMS_SISE,15.37,79782,94,78498,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,vid_nacho-la-formula-del-exito_05-mar-2025_intereses_spark-ads,Impression,2025-04-10,PE_SMB_IMS_SISE,15.20,82570,121,82163,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-gastro_04-mar-2025_intereses_spark-ads,Impression,2025-04-10,PE_SMB_IMS_SISE,15.11,82088,111,81021,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-01,PE_SMB_IMS_SISE,15.03,40022,55,37338,3,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-01,PE_SMB_IMS_SISE,15.01,26873,58,25440,4,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica-2_05-mar-2025_intereses_spark-ads,Impression,2025-04-12,PE_SMB_IMS_SISE,15.01,86678,0,85628,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-13,PE_SMB_IMS_SISE,15.00,25384,44,23516,4,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,vid_nacho-la-formula-del-exito_05-mar-2025_intereses_spark-ads,Impression,2025-04-09,PE_SMB_IMS_SISE,14.76,84912,124,84089,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-gastro_04-mar-2025_intereses_spark-ads,Impression,2025-04-08,PE_SMB_IMS_SISE,14.55,79333,116,77622,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-gastro_04-mar-2025_intereses_spark-ads,Impression,2025-04-05,PE_SMB_IMS_SISE,14.47,87413,110,86440,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-admi_04-mar-2025_intereses_spark-ads,Impression,2025-04-13,PE_SMB_IMS_SISE,14.38,81411,112,80661,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-admi_04-mar-2025_intereses_spark-ads,Impression,2025-04-14,PE_SMB_IMS_SISE,14.34,75975,102,75310,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-gastro_04-mar-2025_intereses_spark-ads,Impression,2025-04-09,PE_SMB_IMS_SISE,14.31,82071,113,81646,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,spark-ads_sise-virtual-nacho_carreras___abr_9,Impression,2025-04-10,PE_SMB_IMS_SISE,14.20,73853,0,73557,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-06,PE_SMB_IMS_SISE,14.16,22096,51,20179,2,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-admi_04-mar-2025_intereses_spark-ads,Impression,2025-04-12,PE_SMB_IMS_SISE,14.05,78233,99,77879,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,vid_nacho-la-formula-del-exito_05-mar-2025_intereses_spark-ads,Impression,2025-04-11,PE_SMB_IMS_SISE,13.87,81842,114,81127,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-13,PE_SMB_IMS_SISE,13.84,27130,63,25180,3,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-gastro_04-mar-2025_intereses_spark-ads,Impression,2025-04-06,PE_SMB_IMS_SISE,13.79,82809,104,82890,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,vid_nacho-la-formula-del-exito_05-mar-2025_intereses_spark-ads,Impression,2025-04-15,PE_SMB_IMS_SISE,13.72,71707,103,70663,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-02,PE_SMB_IMS_SISE,13.63,22059,45,20762,1,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_testimonio-gastro_04-mar-2025_intereses_spark-ads,Impression,2025-04-07,PE_SMB_IMS_SISE,13.21,75178,113,75329,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica-2_05-mar-2025_intereses_spark-ads,Impression,2025-04-13,PE_SMB_IMS_SISE,13.19,71609,0,71332,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,vid_nacho-la-formula-del-exito_05-mar-2025_intereses_spark-ads,Impression,2025-04-06,PE_SMB_IMS_SISE,12.93,78569,120,78234,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica-2_05-mar-2025_intereses_spark-ads,Impression,2025-04-14,PE_SMB_IMS_SISE,12.89,71257,0,70414,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-12,PE_SMB_IMS_SISE,12.76,14552,39,13552,2,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,vid_nacho-la-formula-del-exito_05-mar-2025_intereses_spark-ads,Impression,2025-04-13,PE_SMB_IMS_SISE,12.68,71616,119,71258,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-09,PE_SMB_IMS_SISE,12.68,20795,38,19982,4,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica-2_05-mar-2025_intereses_spark-ads,Impression,2025-04-10,PE_SMB_IMS_SISE,12.66,68013,0,67309,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-03,PE_SMB_IMS_SISE,12.63,16558,33,15361,3,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,vid_nacho-la-formula-del-exito_05-mar-2025_intereses_spark-ads,Impression,2025-04-05,PE_SMB_IMS_SISE,12.54,73728,104,73021,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-04,PE_SMB_IMS_SISE,12.51,32114,56,30539,1,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,vid_nacho-la-formula-del-exito_05-mar-2025_intereses_spark-ads,Impression,2025-04-14,PE_SMB_IMS_SISE,12.30,64279,101,63642,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,vid_nacho-la-formula-del-exito_05-mar-2025_intereses_spark-ads,Impression,2025-04-12,PE_SMB_IMS_SISE,12.21,68408,108,68014,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-01,PE_SMB_IMS_SISE,12.20,27474,32,24991,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-09,PE_SMB_IMS_SISE,12.06,17296,41,16234,3,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,vid_nacho-la-formula-del-exito_05-mar-2025_intereses_spark-ads,Impression,2025-04-04,PE_SMB_IMS_SISE,11.98,74327,79,74056,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-09,PE_SMB_IMS_SISE,11.94,30716,50,29253,3,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,vid_nacho-la-formula-del-exito_05-mar-2025_intereses_spark-ads,Impression,2025-04-07,PE_SMB_IMS_SISE,11.88,67322,91,66499,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-11,PE_SMB_IMS_SISE,11.08,19426,44,18127,2,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-14,PE_SMB_IMS_SISE,11.03,18714,34,17449,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,spark-ads_testimonio-computacion_carreras___mar_27,Impression,2025-04-03,PE_SMB_IMS_SISE,10.91,74997,76,74531,0,USD
